{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0, 'c2': 0}              precision    recall  f1-score   support

         per     0.7132    0.7507    0.7315       381
         org     0.3259    0.4074    0.3621       108
        misc     0.0645    0.0741    0.0690        27
         loc     0.8434    0.8211    0.8321       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9983    0.9974    0.9979     43414

   micro avg     0.9919    0.9919    0.9919     44271
   macro avg     0.4909    0.5084    0.4988     44271
weighted avg     0.9925    0.9919    0.9922     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7206    0.8189    0.7666       381
         org     0.3388    0.3796    0.3581       108
        misc     0.0526    0.0370    0.0435        27
         loc     0.8683    0.8123    0.8394       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9978    0.9982     43414

   micro avg     0.9927    0.9927    0.9927     44271
   macro avg     0.4965    0.5076    0.5010     44271
weighted avg     0.9930    0.9927    0.9928     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7297    0.8504    0.7855       381
         org     0.4059    0.3796    0.3923       108
        misc     0.0667    0.0370    0.0476        27
         loc     0.8812    0.8270    0.8533       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9981    0.9984     43414

   micro avg     0.9934    0.9934    0.9934     44271
   macro avg     0.5137    0.5154    0.5128     44271
weighted avg     0.9934    0.9934    0.9933     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7232    0.8504    0.7817       381
         org     0.3960    0.3704    0.3828       108
        misc     0.0833    0.0370    0.0513        27
         loc     0.8864    0.8240    0.8541       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9982    0.9984     43414

   micro avg     0.9934    0.9934    0.9934     44271
   macro avg     0.5146    0.5133    0.5114     44271
weighted avg     0.9934    0.9934    0.9934     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0.01, 'c2': 0}              precision    recall  f1-score   support

         per     0.6957    0.7559    0.7245       381
         org     0.3554    0.3981    0.3755       108
        misc     0.0667    0.0741    0.0702        27
         loc     0.8443    0.8270    0.8356       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9984    0.9975    0.9979     43414

   micro avg     0.9920    0.9920    0.9920     44271
   macro avg     0.4934    0.5088    0.5006     44271
weighted avg     0.9925    0.9920    0.9923     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0.01, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7252    0.8241    0.7715       381
         org     0.3390    0.3704    0.3540       108
        misc     0.0500    0.0370    0.0426        27
         loc     0.8683    0.8123    0.8394       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9979    0.9983     43414

   micro avg     0.9929    0.9929    0.9929     44271
   macro avg     0.4969    0.5070    0.5010     44271
weighted avg     0.9931    0.9929    0.9930     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0.01, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7330    0.8504    0.7874       381
         org     0.4100    0.3796    0.3942       108
        misc     0.0667    0.0370    0.0476        27
         loc     0.8758    0.8270    0.8507       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9981    0.9984     43414

   micro avg     0.9934    0.9934    0.9934     44271
   macro avg     0.5140    0.5154    0.5130     44271
weighted avg     0.9934    0.9934    0.9934     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0.01, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7265    0.8504    0.7836       381
         org     0.3980    0.3611    0.3786       108
        misc     0.0769    0.0370    0.0500        27
         loc     0.8805    0.8211    0.8498       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9982    0.9984     43414

   micro avg     0.9934    0.9934    0.9934     44271
   macro avg     0.5134    0.5113    0.5101     44271
weighted avg     0.9933    0.9934    0.9933     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0.05, 'c2': 0}              precision    recall  f1-score   support

         per     0.7075    0.8189    0.7591       381
         org     0.3670    0.3704    0.3687       108
        misc     0.0526    0.0370    0.0435        27
         loc     0.8731    0.8270    0.8494       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9978    0.9982     43414

   micro avg     0.9928    0.9928    0.9928     44271
   macro avg     0.4998    0.5085    0.5031     44271
weighted avg     0.9930    0.9928    0.9929     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0.05, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7281    0.8504    0.7845       381
         org     0.3942    0.3796    0.3868       108
        misc     0.0714    0.0370    0.0488        27
         loc     0.8696    0.8211    0.8446       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9980    0.9983     43414

   micro avg     0.9933    0.9933    0.9933     44271
   macro avg     0.5103    0.5144    0.5105     44271
weighted avg     0.9933    0.9933    0.9932     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0.05, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7315    0.8583    0.7899       381
         org     0.4082    0.3704    0.3883       108
        misc     0.0909    0.0370    0.0526        27
         loc     0.8785    0.8270    0.8520       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9982    0.9984     43414

   micro avg     0.9936    0.9936    0.9936     44271
   macro avg     0.5180    0.5151    0.5135     44271
weighted avg     0.9934    0.9936    0.9934     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0.05, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7248    0.8504    0.7826       381
         org     0.4227    0.3796    0.4000       108
        misc     0.1429    0.0370    0.0588        27
         loc     0.8762    0.8299    0.8524       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9982    0.9984     43414

   micro avg     0.9936    0.9936    0.9936     44271
   macro avg     0.5275    0.5159    0.5154     44271
weighted avg     0.9934    0.9936    0.9934     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0.1, 'c2': 0}              precision    recall  f1-score   support

         per     0.7262    0.8425    0.7801       381
         org     0.4038    0.3889    0.3962       108
        misc     0.0714    0.0370    0.0488        27
         loc     0.8735    0.8299    0.8511       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9980    0.9984     43414

   micro avg     0.9933    0.9933    0.9933     44271
   macro avg     0.5123    0.5161    0.5124     44271
weighted avg     0.9933    0.9933    0.9933     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0.1, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7354    0.8609    0.7932       381
         org     0.4057    0.3981    0.4019       108
        misc     0.0714    0.0370    0.0488        27
         loc     0.8892    0.8240    0.8554       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9988    0.9982    0.9985     43414

   micro avg     0.9936    0.9936    0.9936     44271
   macro avg     0.5168    0.5197    0.5163     44271
weighted avg     0.9936    0.9936    0.9936     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0.1, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7299    0.8583    0.7889       381
         org     0.4300    0.3981    0.4135       108
        misc     0.1111    0.0370    0.0556        27
         loc     0.8836    0.8240    0.8528       341
