{'algo': 'ap', 'min_freq': 0, 'all_state': True, 'all_transition': True}              precision    recall  f1-score   support

         per     0.7251    0.8583    0.7861       381
         org     0.3922    0.3704    0.3810       108
        misc     0.0588    0.0370    0.0455        27
         loc     0.8723    0.8211    0.8459       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9979    0.9983     43414

   micro avg     0.9932    0.9932    0.9932     44271
   macro avg     0.5078    0.5141    0.5094     44271
weighted avg     0.9933    0.9932    0.9932     44271


{'algo': 'ap', 'min_freq': 0, 'all_state': True, 'all_transition': False}              precision    recall  f1-score   support

         per     0.7267    0.8583    0.7870       381
         org     0.3810    0.3704    0.3756       108
        misc     0.0588    0.0370    0.0455        27
         loc     0.8750    0.8211    0.8472       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9979    0.9983     43414

   micro avg     0.9932    0.9932    0.9932     44271
   macro avg     0.5067    0.5141    0.5089     44271
weighted avg     0.9933    0.9932    0.9932     44271


{'algo': 'ap', 'min_freq': 0, 'all_state': False, 'all_transition': True}              precision    recall  f1-score   support

         per     0.7118    0.8425    0.7716       381
         org     0.3694    0.3796    0.3744       108
        misc     0.0667    0.0370    0.0476        27
         loc     0.8742    0.8152    0.8437       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9978    0.9982     43414

   micro avg     0.9930    0.9930    0.9930     44271
   macro avg     0.5034    0.5120    0.5059     44271
weighted avg     0.9932    0.9930    0.9930     44271


{'algo': 'ap', 'min_freq': 0, 'all_state': False, 'all_transition': False}              precision    recall  f1-score   support

         per     0.7146    0.8478    0.7755       381
         org     0.3761    0.3796    0.3779       108
        misc     0.0667    0.0370    0.0476        27
         loc     0.8683    0.8123    0.8394       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9978    0.9983     43414

   micro avg     0.9930    0.9930    0.9930     44271
   macro avg     0.5041    0.5124    0.5064     44271
weighted avg     0.9932    0.9930    0.9930     44271


{'algo': 'ap', 'min_freq': 0.02, 'all_state': True, 'all_transition': True}              precision    recall  f1-score   support

         per     0.7130    0.8478    0.7746       381
         org     0.3832    0.3796    0.3814       108
        misc     0.0667    0.0370    0.0476        27
         loc     0.8715    0.8152    0.8424       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9978    0.9983     43414

   micro avg     0.9930    0.9930    0.9930     44271
   macro avg     0.5055    0.5129    0.5074     44271
weighted avg     0.9932    0.9930    0.9931     44271


{'algo': 'ap', 'min_freq': 0.02, 'all_state': True, 'all_transition': False}              precision    recall  f1-score   support

         per     0.7146    0.8478    0.7755       381
