{'algo': 'ap', 'min_freq': 0, 'all_state': True, 'all_transition': True}              precision    recall  f1-score   support

         per     0.7284    0.8676    0.7919       340
         org     0.3604    0.3704    0.3653       108
        misc     0.0526    0.0370    0.0435        27
         loc     0.8735    0.8299    0.8511       341
   deriv-per     0.5750    0.5610    0.5679        41
    notpropn     0.9988    0.9978    0.9983     43414

    accuracy                         0.9930     44271
   macro avg     0.5981    0.6106    0.6030     44271
weighted avg     0.9932    0.9930    0.9931     44271


{'algo': 'ap', 'min_freq': 0, 'all_state': True, 'all_transition': False}              precision    recall  f1-score   support

         per     0.7261    0.8500    0.7832       340
         org     0.3545    0.3611    0.3578       108
        misc     0.0500    0.0370    0.0426        27
         loc     0.8701    0.8446    0.8571       341
   deriv-per     0.5897    0.5610    0.5750        41
    notpropn     0.9988    0.9979    0.9983     43414

    accuracy                         0.9930     44271
   macro avg     0.5982    0.6086    0.6023     44271
weighted avg     0.9932    0.9930    0.9931     44271


{'algo': 'ap', 'min_freq': 0, 'all_state': False, 'all_transition': True}              precision    recall  f1-score   support

         per     0.7230    0.8676    0.7888       340
         org     0.3945    0.3981    0.3963       108
        misc     0.0588    0.0370    0.0455        27
         loc     0.8677    0.8270    0.8468       341
   deriv-per     0.5882    0.4878    0.5333        41
    notpropn     0.9987    0.9979    0.9983     43414

    accuracy                         0.9930     44271
   macro avg     0.6052    0.6026    0.6015     44271
weighted avg     0.9931    0.9930    0.9930     44271


{'algo': 'ap', 'min_freq': 0, 'all_state': False, 'all_transition': False}              precision    recall  f1-score   support

         per     0.7246    0.8588    0.7860       340
         org     0.3853    0.3889    0.3871       108
        misc     0.0526    0.0370    0.0435        27
         loc     0.8650    0.8270    0.8456       341
   deriv-per     0.5882    0.4878    0.5333        41
    notpropn     0.9986    0.9978    0.9982     43414

    accuracy                         0.9929     44271
   macro avg     0.6024    0.5996    0.5990     44271
weighted avg     0.9930    0.9929    0.9929     44271


{'algo': 'ap', 'min_freq': 0.02, 'all_state': True, 'all_transition': True}              precision    recall  f1-score   support

         per     0.7185    0.8559    0.7812       340
         org     0.3772    0.3981    0.3874       108
        misc     0.0526    0.0370    0.0435        27
         loc     0.8669    0.8211    0.8434       341
   deriv-per     0.6061    0.4878    0.5405        41
    notpropn     0.9987    0.9978    0.9983     43414

