{'algo': 'l2sgd', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c2': 0}              precision    recall  f1-score   support

         per     0.0000    0.0000    0.0000       340
         org     0.0000    0.0000    0.0000       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.0000    0.0000    0.0000       341
   deriv-per     0.0000    0.0000    0.0000        41
    notpropn     0.9806    1.0000    0.9902     43414

    accuracy                         0.9806     44271
   macro avg     0.1634    0.1667    0.1650     44271
weighted avg     0.9617    0.9806    0.9711     44271


{'algo': 'l2sgd', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.6478    0.9412    0.7674       340
         org     0.4607    0.3796    0.4162       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.9398    0.7331    0.8237       341
   deriv-per     0.7742    0.5854    0.6667        41
    notpropn     0.9988    0.9983    0.9986     43414

    accuracy                         0.9933     44271
   macro avg     0.6369    0.6063    0.6121     44271
weighted avg     0.9935    0.9933    0.9931     44271


{'algo': 'l2sgd', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7237    0.8706    0.7904       340
         org     0.5641    0.2037    0.2993       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.8857    0.8182    0.8506       341
   deriv-per     0.7917    0.4634    0.5846        41
    notpropn     0.9973    0.9988    0.9980     43414

    accuracy                         0.9934     44271
   macro avg     0.6604    0.5591    0.5872     44271
weighted avg     0.9925    0.9934    0.9926     44271


{'algo': 'l2sgd', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7174    0.8735    0.7878       340
         org     0.3750    0.4167    0.3947       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.9291    0.7683    0.8411       341
   deriv-per     0.7778    0.5122    0.6176        41
    notpropn     0.9982    0.9984    0.9983     43414

    accuracy                         0.9932     44271
   macro avg     0.6329    0.5949    0.6066     44271
weighted avg     0.9931    0.9932    0.9930     44271


{'algo': 'l2sgd', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c2': 0}              precision    recall  f1-score   support

         per     0.0000    0.0000    0.0000       340
         org     0.0000    0.0000    0.0000       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.0000    0.0000    0.0000       341
   deriv-per     0.0000    0.0000    0.0000        41
    notpropn     0.9806    1.0000    0.9902     43414

    accuracy                         0.9806     44271
   macro avg     0.1634    0.1667    0.1650     44271
weighted avg     0.9617    0.9806    0.9711     44271


{'algo': 'l2sgd', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7284    0.8676    0.7919       340
         org     0.4118    0.3889    0.4000       108
        misc     0.0870    0.0741    0.0800        27
         loc     0.9122    0.7918    0.8477       341
   deriv-per     0.6667    0.5854    0.6234        41
    notpropn     0.9984    0.9983    0.9984     43414

    accuracy                         0.9933     44271
   macro avg     0.6341    0.6177    0.6236     44271
weighted avg     0.9934    0.9933    0.9933     44271


{'algo': 'l2sgd', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.8014    0.6765    0.7337       340
         org     0.2788    0.6944    0.3979       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.9296    0.7742    0.8448       341
   deriv-per     0.6136    0.6585    0.6353        41
    notpropn     0.9988    0.9981    0.9985     43414

    accuracy                         0.9922     44271
   macro avg     0.6037    0.6336    0.6017     44271
weighted avg     0.9941    0.9922    0.9928     44271


{'algo': 'l2sgd', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7133    0.8853    0.7900       340
         org     0.5231    0.3148    0.3931       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.8262    0.8504    0.8382       341
